ID;URL;NOME FILE;NOME ATTUALE;TESTO ALT;TESTO NEL TAG;FORMATO;STATUS
50;https://www.ansa.it/webimages/img_300x200/2021/4/12/6df71cee7e5783ff551291936292082f.jpeg;6df71cee7e5783ff551291936292082f.jpeg;50.jpeg;castaldo (ANSA);;.jpeg;200
51;https://www.ansa.it/canale_viaggiart/it/photogallery/foto.shtml;foto.shtml;;;FOTO;;
52;https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2021/04/13/ema-se-arriveranno-dosi-in-italia-immunita-entro-settembre_3633d4ec-a3f2-4ecb-8436-b48611db1302.html;ema-se-arriveranno-dosi-in-italia-immunita-entro-settembre_3633d4ec-a3f2-4ecb-8436-b48611db1302.html;;;Ema, se arriveranno dosi, in Italia immunità entro settembre;;
53;https://www.ansa.it/corporate/it/web_mobile.html;web_mobile.html;;;Web e Mobile;;
54;https://www.ansa.it/sito/img/arrow_gray_3x5.png;arrow_gray_3x5.png;54.png;fromCss;;.png;200
55;https://www.ansa.it/canale_terraegusto/notizie/istituzioni/index.shtml;index.shtml;;;Istituzioni;;
56;https://www.ansa.it/canale_saluteebenessere/notizie/postit/Sifi/2021/03/31/loculistica-italiana-ad-alta-tecnologia-approda-in-cina_e5e43874-8271-4b34-9dc7-5b0d6e09b5c5.html;loculistica-italiana-ad-alta-tecnologia-approda-in-cina_e5e43874-8271-4b34-9dc7-5b0d6e09b5c5.html;;;L’oculistica italiana ad alta tecnologia approda in Cina;;
57;https://www8.smartadserver.com/ac?nwid=1827&siteid=392138&pgid=1345107&fmtid=97506&async=1&visit=m&tmstp=&gdpr_consent=CPEmG_UPEmG_mB7D7BITBVCsAP_AAH_AAAAAHsNf_X__b39j-_59__t0eY1f9_7_v-0zjhfdt-8N2f_X_L8X42M7vF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEinMbe2dYGHtfn91TuZKYr_78_9fz__-__v___9f3r-3_3__p9X---_e_V399xLv9__wPVAJMNS-ACzEscGSaNKoUQIQrCQ6AUAFFCMLRNYQMrgp2VwEeoIGACE1ARgRAgxBRiwCAAQCAJCIgJADwQCIAiAQAAgBUgIQAETAILACwMAgAFANCxAigCECQgyOCo5TAgIkWignsrAEou9jTCEMosAKBR_RUYCJUggWBkAAA;ac?nwid=1827&siteid=392138&pgid=1345107&fmtid=97506&async=1&visit=m&tmstp=&gdpr_consent=CPEmG_UPEmG_mB7D7BITBVCsAP_AAH_AAAAAHsNf_X__b39j-_59__t0eY1f9_7_v-0zjhfdt-8N2f_X_L8X42M7vF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEinMbe2dYGHtfn91TuZKYr_78_9fz__-__v___9f3r-3_3__p9X---_e_V399xLv9__wPVAJMNS-ACzEscGSaNKoUQIQrCQ6AUAFFCMLRNYQMrgp2VwEeoIGACE1ARgRAgxBRiwCAAQCAJCIgJADwQCIAiAQAAgBUgIQAETAILACwMAgAFANCxAigCECQgyOCo5TAgIkWignsrAEou9jTCEMosAKBR_RUYCJUggWBkAAA;57.jpg;;;.jpg;200
58;https://www.ansa.it/sito/notizie/sport/basket/2021/04/13/basket-nba-cade-utah-e-suns-sempre-piu-vicini-alla-vetta_cf68683c-884c-459f-995d-44b73efa2a0a.html;basket-nba-cade-utah-e-suns-sempre-piu-vicini-alla-vetta_cf68683c-884c-459f-995d-44b73efa2a0a.html;;;;;
59;https://www.ansa.it/webimages/img_300x200/2019/5/18/a1b2e17a402bde7531a53dbc00b6e34e.jpg;a1b2e17a402bde7531a53dbc00b6e34e.jpg;59.jpg;Il team di Sardiniasail;;.jpg;200
60;https://www.ansa.it/webimages/img_457x260/2021/4/13/ad4572c2a78a686fc5cce0b424192106.jpg;ad4572c2a78a686fc5cce0b424192106.jpg;60.jpg;Minneapolis, le Forze dell'ordine disperdono i manifestanti;;.jpg;200
61;https://www.ansa.it/webimages/img_210x145/2021/3/30/dc06196228af011cda997f688878cc14.jpg;dc06196228af011cda997f688878cc14.jpg;61.jpg; (ANSA);;.jpg;200
