ID;TAG NAME;URL;NOME FILE;NOME ATTUALE;TESTO ALT;HREF;TESTO NEL TAG;FORMATO;STATUS
313;span;;;;;;VESTITO STAMPA FLOREALE FIOCCO;;
314;li;;;;;;VESTITO COMBINATO COLOR BLOCK29,95 EUR;;
315;a;;;;;https://www.zara.com/it/it/vestito-combinato-color-block-p06062079.html;;;
316;a;;;;;https://www.zara.com/it/it/vestito-combinato-color-block-p06062079.html;VESTITO COMBINATO COLOR BLOCK;;
317;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/ZaraSRPLS_Font-Regular.443a1d43.eot?#iefix;ZaraSRPLS_Font-Regular.443a1d43.eot?#iefix;;;;;;403
318;a;;;;;#;STORIES;;
319;a;;;;;https://www.zara.com/it/it/woman-editorial-new-mkt1103.html;STORIES;;
320;a;;;;;https://www.zara.com/it/it/events-mkt1484.html;VR STORE;;
321;li;;;;;;COLLECTIONMUST HAVEDIVIDER_MENU_11BLAZERSVESTITIVisualizza TuttoMiniMidiMaxiSenza ManicheChemisierSALOPETTETOPSCAMICIEVisualizza TuttoCamicieBlusaMAGLIETTEVisualizza TuttoManiche CorteBasicCroppedSenza ManicheManiche LungheLicenzeMAGLIERIAVisualizza TuttoTop in MagliaVestitiCardigan | GiaccheMaglieGiletBasicCo-ord SetsFELPEJEANSVisualizza TuttoVita AltaVita MediaLarghiA SigarettaMom FitDrittiFlaredBaggyPANTALONIVisualizza TuttoPinceJoggersMorbidiLeggingsSHORTSVisualizza TuttoCasualDenimBermudaGONNEVisualizza TuttoMiniMidiCOSTUMI | MAREGIACCHE Visualizza TuttoGiaccheGiacche CamiciaCAPPOTTI | TRENCHVisualizza TuttoCappottiTrenchTAILLEURSET COORDINATISCARPEVisualizza TuttoParty ShoesSandali BasseSandali TaccoScarpe SportiveScarpe BasseScarpa TaccoStivali | StivalettiScarpe in PelleSpecial PricesBORSEVisualizza TuttoBorse imbottitePelleTracolleBorse a spallaBorse grandi Borse PiccoleSpecial PricesACCESSORIVisualizza TuttoBigiotteriaVisualizza TuttoBraccialettiOrecchiniFoulardBerretti | CappelliCARTOLERIAPET COLLECTIONINTIMOVisualizza TuttoReggiseniSlipPigiamiAccessoriPROFUMIProfumiVisualizza TuttoEmotionsDayNightWeekendSeasonalZARA EMOTIONSCandeleSPECIAL PRICESVisualizza Tutto CollectionScarpe | BorseJOIN LIFE COLLECTIONNew InCapispallaVestiti | SalopetteCamicie | TopsMaglieriaMaglietteFelpePantaloniJeansGonne | ShortsScarpe | BorseCARTA REGALOE-carta RegaloCarta RegaloAttiva CartaConsulta Saldo;;
322;ul;;;;;;MUST HAVEDIVIDER_MENU_11BLAZERSVESTITIVisualizza TuttoMiniMidiMaxiSenza ManicheChemisierSALOPETTETOPSCAMICIEVisualizza TuttoCamicieBlusaMAGLIETTEVisualizza TuttoManiche CorteBasicCroppedSenza ManicheManiche LungheLicenzeMAGLIERIAVisualizza TuttoTop in MagliaVestitiCardigan | GiaccheMaglieGiletBasicCo-ord SetsFELPEJEANSVisualizza TuttoVita AltaVita MediaLarghiA SigarettaMom FitDrittiFlaredBaggyPANTALONIVisualizza TuttoPinceJoggersMorbidiLeggingsSHORTSVisualizza TuttoCasualDenimBermudaGONNEVisualizza TuttoMiniMidiCOSTUMI | MAREGIACCHE Visualizza TuttoGiaccheGiacche CamiciaCAPPOTTI | TRENCHVisualizza TuttoCappottiTrenchTAILLEURSET COORDINATISCARPEVisualizza TuttoParty ShoesSandali BasseSandali TaccoScarpe SportiveScarpe BasseScarpa TaccoStivali | StivalettiScarpe in PelleSpecial PricesBORSEVisualizza TuttoBorse imbottitePelleTracolleBorse a spallaBorse grandi Borse PiccoleSpecial PricesACCESSORIVisualizza TuttoBigiotteriaVisualizza TuttoBraccialettiOrecchiniFoulardBerretti | CappelliCARTOLERIAPET COLLECTIONINTIMOVisualizza TuttoReggiseniSlipPigiamiAccessoriPROFUMIProfumiVisualizza TuttoEmotionsDayNightWeekendSeasonalZARA EMOTIONSCandeleSPECIAL PRICESVisualizza Tutto CollectionScarpe | BorseJOIN LIFE COLLECTIONNew InCapispallaVestiti | SalopetteCamicie | TopsMaglieriaMaglietteFelpePantaloniJeansGonne | ShortsScarpe | BorseCARTA REGALOE-carta RegaloCarta RegaloAttiva CartaConsulta Saldo;;
